Codigo;Municipio;Indice
6506;SÃO MIGUEL ARCANJO;0,047075585
1004;SÃO PAULO;42,58000297
6518;SÃO PEDRO;0,086865406
6520;SÃO PEDRO DO TURVO;0,009423873
6531;SÃO ROQUE;0,202813452
6543;SÃO SEBASTIÃO;0,124822776
6555;SÃO SEBASTIÃO DA GRAMA;0,013072108
6567;SÃO SIMÃO;0,026735729
6579;SÃO VICENTE;0,550002967
6580;SARAPUI;0,012757866
6592;SARUTAIA;0,004475385
6609;SEBASTIANOPOLIS DO SUL;0,00727196
6610;SERRA AZUL;0,006770984
6622;SERRA NEGRA;0,083663381
6634;SERRANA;0,053093585
6646;SERTÃOZINHO;0,129582966
6658;SETE BARRAS;0,01604627
6660;SEVERINIA;0,009367747
6671;SILVEIRAS;0,007018165
6683;SOCORRO;0,073996556
6695;SOROCABA;1,260002967
6701;SUD MENNUCCI;0,005380713
6713;SUMARE;0,210712222
7626;SUZANAPOLIS;0,003545032
6725;SUZANO;0,510002967
6737;TABAPUÃ;0,015482604
6749;TABATINGA;0,020633478
6750;TABOAO DA SERRA;1,010002967
6762;TACIBA;0,007852746
6774;TAGUAI;0,015438357
6786;TAIACU;0,003859673
6798;TAIUVA;0,006616992
6804;TAMBAU;0,032212151
6816;TANABI;0,036814785
6828;TAPIRAI;0,011960748
6830;TAPIRATIBA;0,012500617
7857;TAQUARAL;0,003622545
6841;TAQUARITINGA;0,107016499
6853;TAQUARITUBA;0,040597446
7638;TAQUARIVAI;0,00647919
6865;TARABAI;0,008248426
7316;TARUMA;0,024885947
6877;TATUI;0,265177645
6889;TAUBATE;0,439303551
6890;TEJUPA;0,003731048
6907;TEODORO SAMPAIO;0,029771629
6919;TERRA ROXA;0,007984117
6920;TIETE;0,118037777
6932;TIMBURI;0,003364813
7730;TORRE DE PEDRA;0,002745223
6944;TORRINHA;0,02104773
7948;TRABIJU;0,003105863
6956;TREMEMBE;0,068290054
6968;TRES FRONTEIRAS;0,008580998
7640;TUIUTI;0,007238732
6970;TUPÃ;0,083017799
6981;TUPI PAULISTA;0,013123701
6993;TURIUBA;0,003819211
7006;TURMALINA;0,003133818
7651;UBARANA;0,002650358
7018;UBATUBA;0,197559002
7020;UBIRAJARA;0,007367858
7031;UCHOA;0,012329323
7043;UNIÃO PAULISTA;0,002525591
7055;URANIA;0,01446673
7067;URU;0,002537588
7079;URUPES;0,01914539
7092;VALETIM GENTIL;0,01145112
7080;VALINHOS;0,354865303
7109;VALPARAISO;0,033915783
7663;VARGEM;0,011627392
7110;VARGEM GRANDE DO SUL;0,062282648
7201;VARGEM GRANDE PAULISTA;0,113433644
7122;VARZEA PAULISTA;0,230002967
7134;VERA CURZ;0,020907047
7146;VINHEDO;0,232842382
7158;VIRADOURO;0,020595318
7160;VISTA ALEGRE DO ALTO;0,013930515
7833;VITORIA BRASIL;0,002250578
7171;VOTORANTIM;0,190002967
7183;VOTUPORANGA;0,198535113
7742;ZACARIAS;0,004199218
